SRA ID,Actual MIC
ERR2931009,1
ERR2091427,0.25
ERR2091308,4.0
ERR2091312,8.0
ERR2091409,0.25
ERR2091418,0.015
ERR3808903,20
ERR3808914,15
ERR3808888,25
ERR2931033,64
ERR3808921,18
ERR2091340,0.25
ERR2091308,4
ERR2091307,0.5
ERR2091328,1.0
ERR3808887,31
ERR2091316,0.03
ERR3808890,6
ERR2091339,16
ERR3808876,33
ERR2091319,128
ERR2091414,0.03
ERR2091312,0.125
ERR2091397,64.0
ERR3808908,25
ERR2091401,128
ERR2091418,1.0
ERR3808867,31
ERR2091417,8
ERR2931033,0.25
ERR3808896,11
ERR2091334,0.25
ERR2935426,18
ERR3808893,6
ERR3808918,11
ERR2091329,8.0
ERR2091413,8.0
ERR3808912,9
ERR3808874,6
ERR3808881,6
ERR2091413,1.0
ERR3808908,6
ERR2091352,2
ERR2931017,16
ERR3808888,6
ERR2091339,0.015
ERR3808923,12
ERR3808887,19
ERR3808890,25
ERR2091345,8
ERR2091336,0.125
ERR2091337,8.0
ERR3808875,28
ERR3808871,26
ERR3808895,29
ERR2091354,0.015
ERR3808928,9
ERR2091315,0.03
ERR2091410,0.5
ERR2091311,0.015
ERR3808870,14
ERR2091343,4.0
ERR2091342,1024.0
ERR2091422,4.0
ERR2091347,2
ERR3808866,29
ERR2091305,8.0
ERR2931028,0.5
ERR3808880,25
ERR2091319,16
ERR3808891,21
ERR3808875,23
ERR3808895,13
ERR2091404,64
ERR2091429,0.25
ERR2091416,0.5
ERR2091427,4
ERR2091321,4.0
ERR2931021,32
ERR2091354,1024.0
ERR3808892,17
ERR2091359,0.015
ERR2091328,1024.0
ERR3808882,30
ERR2091414,0.5
ERR2931013,320
ERR3808896,26
ERR3808866,6
ERR3808908,6
ERR2091311,4.0
ERR2091341,8.0
ERR3808884,27
ERR3808875,14
ERR2091312,64
ERR2091364,64
ERR3808924,30
ERR3808871,15
ERR2091344,64
ERR3808918,35
ERR3808894,21
ERR2931002,16
ERR2091351,4
ERR2091346,0.125
ERR3808898,23
ERR3808909,6
ERR3808927,18
ERR2091417,4
ERR2091423,0.015
ERR3808886,34
ERR3808923,6
ERR2091344,1.0
ERR3808877,6
ERR3808907,6
ERR2091319,0.5
ERR2091415,0.03
ERR2091354,1.0
ERR3808903,29
ERR3808907,21
ERR2091339,8.0
ERR3808893,11
ERR2091316,8.0
ERR2091423,4
ERR2091412,0.25
ERR2091418,8.0
ERR2931033,0.5
ERR2091401,16
ERR2091353,0.25
ERR3808868,33
ERR2091406,64.0
ERR3808910,16
ERR3808921,38
ERR2091425,8
ERR2091419,8.0
ERR2091360,2
ERR3808882,25
ERR2931017,0.25
ERR2091416,64.0
ERR3808894,20
ERR2931025,0.25
ERR2091396,4
ERR2091352,0.03
ERR2091407,16
ERR3808881,23
ERR3808903,23
ERR2091327,64.0
ERR2091347,8
ERR2091418,0.03
ERR2091402,64.0
ERR2091361,0.25
ERR2091341,32.0
ERR2091346,1.0
ERR2091402,8.0
ERR3808909,34
ERR3808886,10
ERR2091398,0.25
ERR3808875,32
ERR2091396,4
ERR2091353,8.0
ERR2091421,0.03
ERR2091310,0.25
ERR2091397,16
ERR3808870,28
ERR2931024,64
ERR2091304,0.03
ERR2091316,2
